id;drużyna;BR;Obrona;Pomoc;Atak;Ogólna;Charakter
1;Jagiellonia Białystok;71;68;72;74;71;7
2;Śląsk Wrocław;74;69;67;75;71;8
3;Legia Warszawa;68;65;67;70;68;10
4;Pogoń Szczecin;68;64;70;71;68;6
5;Lech Poznań;62;61;64;70;64;9
6;Górnik Zabrze;61;60;62;67;63;9
7;Raków Częstochowa;62;62;63;65;63;6
8;Zagłębie Lubin;57;57;60;68;61;4
9;Piast Gliwice;57;58;58;64;59;3
10;Stal Mielec;54;58;55;72;60;3
11;Puszcza Niepołomice;54;61;55;55;56;1
12;Cracovia;55;56;58;63;58;7
13;Korona Kielce;56;56;54;65;58;7
14;Radomiak Radom;53;51;55;61;55;6
15;Warta Poznań;57;55;52;58;56;2
16;Ruch Chorzów;53;52;54;62;55;5
17;ŁKS Łódź;50;51;52;57;53;10
