id;drużyna;BR;Obrona;Pomoc;Atak;Ogólna;Charakter
1;Lech Poznań;69;70;74;72;71;9
2;Górnik Zabrze;72;68;69;69;70;9
3;Jagiellonia Białystok;70;70;71;71;71;7
4;Raków Częstochowa;70;70;70;73;71;7
5;GKS Katowice;68;68;68;68;68;7
6;Legia Warszawa;70;68;64;64;67;10
7;Zagłębie Lubin;69;67;65;65;67;4
8;Wisła Płock;69;67;61;65;66;4
9;Pogoń Szczecin;65;64;65;63;64;6
10;Radomiak Radom;63;62;66;62;63;6
11;Korona Kielce;66;65;64;63;65;7
12;Motor Lublin;62;62;65;68;64;7
13;Cracovia;65;66;60;65;64;7
14;Piast Gliwice;61;63;61;61;62;3
15;Lechia Gdańsk;55;54;67;74;63;7
16;Arka Gdynia;56;56;58;58;57;7
17;Bruk-Bet Termalica Nieciecza;55;54;60;58;57;2
